TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
4,exp20251226_063250,2,v100,fp16,11008,4096,4096,4,32,2,32,selective,1024,32000,3183,13.1129,255.479
4,exp20251226_063250,3,v100,fp16,11008,4096,4096,4,32,2,32,selective,1024,32000,3183,13.1113,255.51
4,exp20251226_063317,0,v100,fp16,11008,4096,4096,4,32,2,32,null,1024,32000,3201,12.9933,257.83
4,exp20251226_063317,1,v100,fp16,11008,4096,4096,4,32,2,32,null,1024,32000,3201,12.9934,257.828
4,exp20251226_063317,2,v100,fp16,11008,4096,4096,4,32,2,32,null,1024,32000,3201,12.9943,257.81
4,exp20251226_063317,3,v100,fp16,11008,4096,4096,4,32,2,32,null,1024,32000,3201,12.9952,257.792
2,exp20251226_063342,0,v100,fp16,11008,4096,8192,2,32,1,32,full-uniform-1,2048,32000,4329,22.4311,187.835
2,exp20251226_063342,1,v100,fp16,11008,4096,8192,2,32,1,32,full-uniform-1,2048,32000,4329,22.4288,187.855
2,exp20251226_063408,0,v100,fp16,11008,4096,8192,2,32,1,32,full-block-1,2048,32000,4329,22.2206,189.615
2,exp20251226_063408,1,v100,fp16,11008,4096,8192,2,32,1,32,full-block-1,2048,32000,4329,22.2288,189.545
2,exp20251226_063434,0,v100,fp16,11008,4096,8192,2,32,1,32,selective,2048,32000,4419,25.8167,163.203
2,exp20251226_063434,1,v100,fp16,11008,4096,8192,2,32,1,32,selective,2048,32000,4419,25.8059,163.271
2,exp20251226_063457,0,v100,fp16,11008,4096,8192,2,32,1,32,null,2048,32000,4449,26.2438,160.547
2,exp20251226_063457,1,v100,fp16,11008,4096,8192,2,32,1,32,null,2048,32000,4449,26.2305,160.629
4,exp20251226_063526,0,v100,fp16,11008,4096,4096,4,32,1,32,full-uniform-1,2048,32000,3275,11.4409,368.271
4,exp20251226_063526,1,v100,fp16,11008,4096,4096,4,32,1,32,full-uniform-1,2048,32000,3275,11.4412,368.263
4,exp20251226_063526,2,v100,fp16,11008,4096,4096,4,32,1,32,full-uniform-1,2048,32000,3275,11.4403,368.291
4,exp20251226_063526,3,v100,fp16,11008,4096,4096,4,32,1,32,full-uniform-1,2048,32000,3275,11.4409,368.272
4,exp20251226_063553,0,v100,fp16,11008,4096,4096,4,32,1,32,full-block-1,2048,32000,3275,11.748,358.644
4,exp20251226_063553,1,v100,fp16,11008,4096,4096,4,32,1,32,full-block-1,2048,32000,3275,11.7482,358.64
4,exp20251226_063553,2,v100,fp16,11008,4096,4096,4,32,1,32,full-block-1,2048,32000,3275,11.7479,358.649
4,exp20251226_063553,3,v100,fp16,11008,4096,4096,4,32,1,32,full-block-1,2048,32000,3275,11.7471,358.672
4,exp20251226_063618,0,v100,fp16,11008,4096,4096,4,32,1,32,selective,2048,32000,3361,14.3268,294.089
4,exp20251226_063618,1,v100,fp16,11008,4096,4096,4,32,1,32,selective,2048,32000,3361,14.3262,294.103
4,exp20251226_063618,2,v100,fp16,11008,4096,4096,4,32,1,32,selective,2048,32000,3361,14.3261,294.105
4,exp20251226_063618,3,v100,fp16,11008,4096,4096,4,32,1,32,selective,2048,32000,3361,14.3248,294.131
4,exp20251226_063645,0,v100,fp16,11008,4096,4096,4,32,1,32,null,2048,32000,3101,14.5668,289.245
4,exp20251226_063645,1,v100,fp16,11008,4096,4096,4,32,1,32,null,2048,32000,3101,14.5672,289.236
4,exp20251226_063645,2,v100,fp16,11008,4096,4096,4,32,1,32,null,2048,32000,3101,14.5672,289.236
4,exp20251226_063645,3,v100,fp16,11008,4096,4096,4,32,1,32,null,2048,32000,3101,14.5684,289.212
1,exp20251226_063711,0,v100,fp16,11008,4096,4096,4,1,2,1,full-uniform-1,1024,32000,9823,42.9373,311.79
1,exp20251226_063737,0,v100,fp16,11008,4096,4096,4,1,2,1,full-uniform-2,1024,32000,9823,41.9999,318.748
1,exp20251226_063803,0,v100,fp16,11008,4096,4096,4,1,2,1,full-block-1,1024,32000,9839,45.8013,292.294
1,exp20251226_063831,0,v100,fp16,11008,4096,4096,4,1,2,1,full-block-2,1024,32000,9823,41.9464,319.155
1,exp20251226_063856,0,v100,fp16,11008,4096,4096,4,1,2,1,selective,1024,32000,9839,49.6245,269.774
1,exp20251226_063923,0,v100,fp16,11008,4096,4096,4,1,2,1,null,1024,32000,9839,51.1741,261.606
2,exp20251226_063953,0,v100,fp16,11008,4096,8192,4,4,2,4,full-uniform-1,2048,32000,5551,27.1475,501.205
2,exp20251226_063953,1,v100,fp16,11008,4096,8192,4,4,2,4,full-uniform-1,2048,32000,5551,27.1399,501.345
2,exp20251226_064019,0,v100,fp16,11008,4096,8192,4,4,2,4,full-uniform-2,2048,32000,5723,26.9447,504.976
2,exp20251226_064019,1,v100,fp16,11008,4096,8192,4,4,2,4,full-uniform-2,2048,32000,5723,26.9415,505.037
2,exp20251226_064045,0,v100,fp16,11008,4096,8192,4,4,2,4,full-block-1,2048,32000,5575,30.3342,448.552
2,exp20251226_064045,1,v100,fp16,11008,4096,8192,4,4,2,4,full-block-1,2048,32000,5575,30.3324,448.579
2,exp20251226_064113,0,v100,fp16,11008,4096,8192,4,4,2,4,full-block-2,2048,32000,5551,26.9217,505.409
2,exp20251226_064113,1,v100,fp16,11008,4096,8192,4,4,2,4,full-block-2,2048,32000,5551,26.9215,505.412
2,exp20251226_064138,0,v100,fp16,11008,4096,8192,4,4,2,4,selective,2048,32000,5991,33.1509,410.44
2,exp20251226_064138,1,v100,fp16,11008,4096,8192,4,4,2,4,selective,2048,32000,5991,33.1509,410.44
2,exp20251226_064205,0,v100,fp16,11008,4096,8192,4,4,2,4,null,2048,32000,5985,34.348,396.136
2,exp20251226_064205,1,v100,fp16,11008,4096,8192,4,4,2,4,null,2048,32000,5985,34.3392,396.237
1,exp20251226_064229,0,v100,fp16,11008,4096,4096,2,4,1,4,full-uniform-1,2048,32000,7425,40.4145,208.189
1,exp20251226_064256,0,v100,fp16,11008,4096,4096,2,4,1,4,full-block-1,2048,32000,7425,37.1414,226.535
1,exp20251226_064318,0,v100,fp16,11008,4096,4096,2,4,1,4,selective,2048,32000,7425,44.9109,187.345
1,exp20251226_064339,0,v100,fp16,11008,4096,4096,2,4,1,4,null,2048,32000,7457,44.4139,189.442
1,exp20251226_064404,0,v100,fp16,11008,4096,4096,4,4,2,4,full-uniform-1,2048,32000,10827,47.6171,570.954
1,exp20251226_064431,0,v100,fp16,11008,4096,4096,4,4,2,4,full-uniform-2,2048,32000,10827,47.6593,570.448
1,exp20251226_064457,0,v100,fp16,11008,4096,4096,4,4,2,4,full-block-1,2048,32000,10847,52.538,517.475
1,exp20251226_064524,0,v100,fp16,11008,4096,4096,4,4,2,4,full-block-2,2048,32000,10827,47.7755,569.061
